model,best_cv_roc_auc,n_trials,best_params
Tuned Random Forest,0.97,30,"{""n_estimators"": 300, ""max_depth"": 13, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2""}"
Tuned XGBoost,0.9783,30,"{""n_estimators"": 250, ""max_depth"": 5, ""learning_rate"": 0.11285640156738275, ""subsample"": 0.6377739022043656, ""colsample_bytree"": 0.9413578610276405, ""min_child_weight"": 1, ""gamma"": 0.6458326040872742}"
Tuned LightGBM,0.9784,30,"{""n_estimators"": 200, ""max_depth"": 3, ""num_leaves"": 58, ""learning_rate"": 0.08413921333090536, ""subsample"": 0.6225022218733494, ""colsample_bytree"": 0.7044296610468431, ""min_child_samples"": 20}"
